RegCode,MsCode,IncCode,Estimate,RSE,LowerCIB,UpperCIB
R004,M003,I003,-0.3,6,-6.3,5.7
R004,M004,I003,3.1,7.7,-4.6,10.8
R005,M001,I003,60509,6.2,56786,64231
R005,M002,I003,51145,4.9,48629,53661
R005,M003,I003,6.4,10,-3.6,16.4
R005,M004,I003,3.1,7.7,-4.6,10.8
R006,M001,I003,58215,6.1,54651,61780
R006,M002,I003,50548,9.7,45629,55467
R006,M003,I003,3.2,8.7,-5.5,11.8
R006,M004,I003,3.2,13.8,-10.6,17
R007,M001,I003,54319,5,51619,57019
R007,M002,I003,47430,8.3,43477,51382
R007,M003,I003,10.3,7.2,3.1,17.4
R007,M004,I003,9.6,10.7,-1,20.3
R008,M001,I003,70474,4.4,67356,73592
R008,M002,I003,61689,5.2,58473,64905
R008,M003,I003,3.8,6,-2.2,9.8
R008,M004,I003,4.9,6.5,-1.6,11.4
R009,M001,I003,59595,7.1,55343,63846
R009,M002,I003,50394,5.5,47643,53145
R009,M003,I003,4.9,10.1,-5.1,15
R009,M004,I003,6.7,10.4,-3.7,17
R010,M001,I003,63966,3.6,61659,66273
R010,M002,I003,54108,3.4,52254,55963
R010,M003,I003,10,5.5,4.6,15.5
R010,M004,I003,6.3,5.4,0.9,11.8
R011,M001,I003,59093,6.2,55447,62740
R011,M002,I003,49625,5.2,47023,52226
R011,M003,I003,1.8,8.3,-6.5,10.1
R011,M004,I003,-1.7,9.6,-11.3,7.9
R012,M001,I003,50659,6.2,47504,53813
R012,M002,I003,44895,9.2,40743,49046
R012,M003,I003,-4.7,8.3,-13.1,3.6
R012,M004,I003,-6.6,14.2,-20.8,7.6
R013,M001,I003,63009,1.1,62330,63687
R013,M002,I003,53513,1,52952,54074
R013,M003,I003,5.9,1.6,4.3,7.5
R013,M004,I003,4.7,1.6,3.2,6.3
R001,M001,I004,41440,6.5,38744,44137
R001,M002,I004,34512,6.8,32153,36871
R001,M003,I004,6.2,9.3,-3.1,15.5
R001,M004,I004,2.2,10,-7.7,12.2
R002,M001,I004,51259,2.5,49973,52545
R002,M002,I004,42041,3,40776,43306
R002,M003,I004,7.1,3.9,3.2,11
R002,M004,I004,6.7,5.1,1.6,11.8
R003,M001,I004,46570,4.5,44485,48655
R003,M002,I004,39098,4.8,37230,40966
R003,M003,I004,10.7,7.1,3.6,17.8
R003,M004,I004,14.6,7.6,7,22.1
R004,M001,I004,43142,5.1,40933,45351
R004,M002,I004,36641,6.3,34336,38947
R004,M003,I004,-1.1,7.3,-8.4,6.2
R004,M004,I004,3,8.5,-5.6,11.5
R005,M001,I004,48070,7.3,44580,51560
R005,M002,I004,38676,7.5,35772,41580
R005,M003,I004,7.6,12.1,-4.5,19.7
R005,M004,I004,0.9,10.5,-9.6,11.4
R006,M001,I004,45604,7.3,42276,48931
R006,M002,I004,36485,9,33193,39776
R006,M003,I004,1.5,10.4,-8.9,12
R006,M004,I004,0.1,12.3,-12.2,12.4
R007,M001,I004,42990,5.9,40466,45515
R007,M002,I004,34777,8.8,31715,37840
R007,M003,I004,11.3,8.4,2.9,19.8
R007,M004,I004,6,10.7,-4.6,16.7
R008,M001,I004,53460,5.6,50477,56442
R008,M002,I004,43938,4.2,42113,45764
R008,M003,I004,3.3,7.4,-4.1,10.7
R008,M004,I004,2.3,5.8,-3.5,8.2
R009,M001,I004,48240,8.9,43949,52530
R009,M002,I004,39136,7.2,36322,41950
R009,M003,I004,5.8,12.4,-6.6,18.3
R009,M004,I004,10,14,-4,24
R010,M001,I004,50194,4.5,47911,52477
R010,M002,I004,39895,4.8,37966,41825
R010,M003,I004,10.9,6.6,4.3,17.6
R010,M004,I004,5.7,6.6,-0.9,12.3
R011,M001,I004,44858,7.8,41349,48366
R011,M002,I004,35911,8.1,33009,38813
R011,M003,I004,-0.7,10.2,-10.9,9.5
R011,M004,I004,-5.2,11.2,-16.3,6
R012,M001,I004,40364,7.9,37186,43543
R012,M002,I004,35352,11.3,31341,39363
R012,M003,I004,-4.7,10.7,-15.3,6
R012,M004,I004,-4.7,13.9,-18.6,9.3
R013,M001,I004,48535,1.4,47863,49208
R013,M002,I004,39553,1.3,39019,40087
R013,M003,I004,6.3,2,4.3,8.3
R013,M004,I004,5.3,1.8,3.5,7.2
